buildingid,address,borough,latitude,longitude,health_score,label,open_violation_count,class_a_count,class_b_count,class_c_count,weighted_severity,avg_resolution_days,violations_last_6mo,repeat_violation_types,component_open_count,component_severity,component_resolution_speed,component_recency,component_repeat_rate
24426,36 LUDLOW STREET,Manhattan,40.7160089,-73.9901881,70.1,Poorly managed,15,2,7,6,34,985.6,0.0,3.0,94.28571428571428,93.52380952380952,16.179736465478957,50.0,76.92307692307692
89826,2865 KINGSBRIDGE TERRACE,Bronx,40.8744683,-73.9029163,70.2,Poorly managed,81,1,64,16,177,148.5,0.0,2.0,67.34693877551021,66.28571428571428,87.44324631101021,50.0,84.61538461538461
119843,2179 WASHINGTON AVENUE,Bronx,40.8537962,-73.8946686,70.3,Poorly managed,71,2,40,28,166,248.9,0.0,2.0,71.42857142857143,68.38095238095238,78.89764305268078,50.0,84.61538461538461
60430,1726 DAVIDSON AVENUE,Bronx,40.8476086,-73.9132386,70.5,Poorly managed,72,4,44,24,164,322.7,0.0,0.0,71.02040816326532,68.76190476190476,72.61751123412064,50.0,100.0
326090,735 LINCOLN AVENUE,Brooklyn,40.672602,-73.865704,70.5,Poorly managed,63,14,34,15,127,494.1,0.0,0.0,74.69387755102042,75.80952380952381,58.019109154182935,50.0,100.0
51990,2100 BRONX PARK EAST,Bronx,40.8540248,-73.8686669,70.6,Poorly managed,40,9,24,7,78,701.1,0.0,2.0,84.08163265306122,85.14285714285714,40.40102562023675,50.0,84.61538461538461
878031,772 EAST 168 STREET,Bronx,40.8289702,-73.900764,70.6,Poorly managed,74,9,51,14,153,108.8,0.0,5.0,70.20408163265306,70.85714285714286,90.81875227550168,50.0,61.53846153846154
72216,655 EAST 234 STREET,Bronx,40.8948977,-73.8584802,70.7,Poorly managed,41,15,22,4,71,793.0,0.0,0.0,83.6734693877551,86.47619047619047,32.576617480136214,50.0,100.0
59919,2308 CROTONA AVENUE,Bronx,40.8521942,-73.8841523,70.8,Poorly managed,73,23,47,3,126,268.6,0.0,3.0,70.61224489795919,76.0,77.21518987341773,50.0,76.92307692307692
41488,613 WEST 140 STREET,Manhattan,40.8239149,-73.953737,71.0,Poorly managed,34,5,24,5,68,788.3,0.0,1.0,86.53061224489795,87.04761904761905,32.98032928841407,50.0,92.3076923076923
